央视高清,#genre#	
CCTV16,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225893/index.m3u8
CCTV17,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225708/index.m3u8
CCTV.com,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225547/index.m3u8

北京卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8
北京卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8
东方卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
东方卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225942/index.m3u8
东南卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225950/index.m3u8
安徽卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225925/index.m3u8
北京纪实科教,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
广东卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225966/index.m3u8
广西卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226091/index.m3u8
贵州卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225974/index.m3u8
海南卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225978/index.m3u8
河北卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225961/index.m3u8
河南卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225988/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225985/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226056/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226060/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226068/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226099/index.m3u8
