河南频道,#genre#
CCTV8,http://49.232.131.30:99/gdyh.php?id=G_CCTV-8-CQ
CCTV9,http://49.232.131.30:99/gdyh.php?id=G_CCTV-9-CQ
CCTV10,http://49.232.131.30:99/gdyh.php?id=G_CCTV-10-CQ
CCTV11,http://49.232.131.30:99/gdyh.php?id=G_CCTV-11-CQ
CCTV12,http://49.232.131.30:99/gdyh.php?id=G_CCTV-12-CQ
CCTV13,http://49.232.131.30:99/gdyh.php?id=G_CCTV-13-CQ
CCTV14,http://49.232.131.30:99/gdyh.php?id=G_CCTV-14-CQ
CCTV15,http://49.232.131.30:99/gdyh.php?id=G_CCTV-15-CQ
CCTV16,http://49.232.131.30:99/gdyh.php?id=G_CCTV-16-CQ
CCTV17,http://49.232.131.30:99/gdyh.php?id=G_CCTV-17-CQ
CCTV13,http://49.232.131.30:99/gdyh.php?id=G_CCTV-NEWS
广东卫视,http://49.232.131.30:99/gdyh.php?id=G_GUANGDONG-CQ
江苏卫视,http://49.232.131.30:99/gdyh.php?id=G_JIANGSU-CQ
浙江卫视,http://49.232.131.30:99/gdyh.php?id=G_ZHEJIANG-CQ
湖南卫视,http://49.232.131.30:99/gdyh.php?id=G_HUNAN-CQ
北京卫视,http://49.232.131.30:99/gdyh.php?id=G_BEIJING-CQ
深圳卫视,http://49.232.131.30:99/gdyh.php?id=G_SHENZHEN-CQ
辽宁卫视,http://49.232.131.30:99/gdyh.php?id=G_LIAONING-CQ
安徽卫视,http://49.232.131.30:99/gdyh.php?id=G_ANHUI-CQ
黑龙江卫视,http://49.232.131.30:99/gdyh.php?id=G_HEILONGJIANG-CQ
山东卫视,http://49.232.131.30:99/gdyh.php?id=G_SHANDONG-CQ
天津卫视,http://49.232.131.30:99/gdyh.php?id=G_TIANJIN-CQ
广西卫视,http://49.232.131.30:99/gdyh.php?id=G_GUANGXI-HQ
东南卫视,http://49.232.131.30:99/gdyh.php?id=G_DONGNAN-CQ
甘肃卫视,http://49.232.131.30:99/gdyh.php?id=G_GANSU-HQ
贵州卫视,http://49.232.131.30:99/gdyh.php?id=G_GUIZHOU-CQ
海南卫视,http://49.232.131.30:99/gdyh.php?id=G_HAINAN-HQ
河北卫视,http://49.232.131.30:99/gdyh.php?id=G_HEBEI-CQ
河南卫视,http://49.232.131.30:99/gdyh.php?id=G_HENAN-CQ
湖北卫视,http://49.232.131.30:99/gdyh.php?id=G_HUBEI-CQ
吉林卫视,http://49.232.131.30:99/gdyh.php?id=G_JILIN-CQ
江西卫视,http://49.232.131.30:99/gdyh.php?id=G_JIANGXI-CQ
康巴卫视,http://49.232.131.30:99/gdyh.php?id=G_KANGBA
兵团卫视,http://49.232.131.30:99/gdyh.php?id=G_BINGTUAN
