🇨🇳｜河南联通,#genre#
CCTV-13,http://125.46.245.73:9999/rtp/225.1.4.13:1042
CCTV-14,http://125.46.245.73:9999/rtp/225.1.4.14:1043
CCTV-15,http://125.46.245.73:9999/rtp/225.1.4.15:1044
CCTV-17,http://125.46.245.73:9999/rtp/225.1.4.227:2507
CCTV4欧洲,http://125.46.245.73:9999/rtp/225.1.5.31:1342
CCTV4美洲,http://125.46.245.73:9999/rtp/225.1.5.32:1343
CGTN英语,http://125.46.245.73:9999/rtp/225.1.5.34:1344
CGTN英文纪录,http://125.46.245.73:9999/rtp/225.1.5.35:1345
CGTN西班牙语,http://125.46.245.73:9999/rtp/225.1.5.36:1346
CGTN法语,http://125.46.245.73:9999/rtp/225.1.5.37:1347
CGTN阿拉伯语,http://125.46.245.73:9999/rtp/225.1.5.38:1348
CGTN俄语,http://125.46.245.73:9999/rtp/225.1.5.39:1349
河南卫视,http://125.46.245.73:9999/rtp/225.1.4.51:1080
浙江卫视,http://125.46.245.73:9999/rtp/225.1.4.19:1048
东方卫视,http://125.46.245.73:9999/rtp/225.1.4.22:1051
天津卫视,http://125.46.245.73:9999/rtp/225.1.4.24:1053
安徽卫视,http://125.46.245.73:9999/rtp/225.1.4.20:1049
山东卫视,http://125.46.245.73:9999/rtp/225.1.4.27:1056
湖北卫视,http://125.46.245.73:9999/rtp/225.1.4.35:1064
深圳卫视,http://125.46.245.73:9999/rtp/225.1.4.23:1052
黑龙江卫视,http://125.46.245.73:9999/rtp/225.1.4.28:1057
北京卫视,http://125.46.245.73:9999/rtp/225.1.4.21:1050
湖南卫视,http://125.46.245.73:9999/rtp/225.1.4.17:1046
江苏卫视,http://125.46.245.73:9999/rtp/225.1.4.18:1047
广东卫视,http://125.46.245.73:9999/rtp/225.1.4.30:1059
辽宁卫视,http://125.46.245.73:9999/rtp/225.1.4.26:1055
爱体育高清,http://125.46.245.73:9999/rtp/225.1.4.168:1220
高清纪实,http://125.46.245.73:9999/rtp/225.1.4.170:1222
东南卫视,http://125.46.245.73:9999/rtp/225.1.4.32:1061
贵州卫视,http://125.46.245.73:9999/rtp/225.1.4.41:1070
河北卫视,http://125.46.245.73:9999/rtp/225.1.4.34:1063
江西卫视,http://125.46.245.73:9999/rtp/225.1.4.37:1066
四川卫视,http://125.46.245.73:9999/rtp/225.1.4.40:1069
云南卫视,http://125.46.245.73:9999/rtp/225.1.4.33:1062
重庆卫视,http://125.46.245.73:9999/rtp/225.1.4.29:1058
吉林卫视,http://125.46.245.73:9999/rtp/225.1.4.36:1065
大象新闻,http://125.46.245.73:9999/rtp/225.1.5.45:1355
现场直播,http://125.46.245.73:9999/rtp/225.1.5.42:1352
河南IPTV-导视,http://125.46.245.73:9999/rtp/225.1.4.194:1244



CCTV1,http://42.236.254.101:2000/rtp/225.1.4.73:1102
CCTV2,http://42.236.254.101:2000/rtp/225.1.4.74:1103
CCTV3,http://42.236.254.101:2000/rtp/225.1.4.158:1194
CCTV4,http://42.236.254.101:2000/rtp/225.1.5.30:1333
CCTV5,http://42.236.254.101:2000/rtp/225.1.4.159:1195
CCTV5＋,http://42.236.254.101:2000/rtp/225.1.4.75:1104
CCTV6,http://42.236.254.101:2000/rtp/225.1.4.160:1196
CCTV7,http://42.236.254.101:2000/rtp/225.1.4.76:1105
CCTV8,http://42.236.254.101:2000/rtp/225.1.4.161:1197
CCTV9,http://42.236.254.101:2000/rtp/225.1.4.77:1106
CCTV10,http://42.236.254.101:2000/rtp/225.1.4.78:1107
CCTV11,http://42.236.254.101:2000/rtp/225.1.4.215:1268
CCTV12,http://42.236.254.101:2000/rtp/225.1.4.79:1108
CCTV13,http://42.236.254.101:2000/rtp/225.1.4.113:1293
CCTV14,http://42.236.254.101:2000/rtp/225.1.4.80:1109
CCTV15,http://42.236.254.101:2000/rtp/225.1.4.216:1269
CCTV16,http://42.236.254.101:2000/rtp/225.1.5.46:1356
CCTV17,http://42.236.254.101:2000/rtp/225.1.4.226:2506
河南卫视4K,http://42.236.254.101:2000/rtp/225.1.4.254:1300
东南卫视,http://42.236.254.101:2000/rtp/225.1.4.228:1274
东方卫视,http://42.236.254.101:2000/rtp/225.1.4.85:1114
云南卫视,http://42.236.254.101:2000/rtp/225.1.4.152:1307
兵团卫视,http://42.236.254.101:2000/rtp/225.1.4.97:1126
内蒙古卫视,http://42.236.254.101:2000/rtp/225.1.4.45:1074
北京卫视,http://42.236.254.101:2000/rtp/225.1.4.81:1110
厦门卫视,http://42.236.254.101:2000/rtp/225.1.4.95:1124
吉林卫视,http://42.236.254.101:2000/rtp/225.1.4.174:1309
四川卫视,http://42.236.254.101:2000/rtp/225.1.4.151:1306
天津卫视,http://42.236.254.101:2000/rtp/225.1.4.86:1115
宁夏卫视,http://42.236.254.101:2000/rtp/225.1.4.43:1072
安徽卫视,http://42.236.254.101:2000/rtp/225.1.4.87:1116
山东卫视,http://42.236.254.101:2000/rtp/225.1.4.88:1117
山西卫视,http://42.236.254.101:2000/rtp/225.1.4.38:1067
广东卫视,http://42.236.254.101:2000/rtp/225.1.4.166:1207
广西卫视,http://42.236.254.101:2000/rtp/225.1.4.31:1060
新疆卫视,http://42.236.254.101:2000/rtp/225.1.4.47:1076
江苏卫视,http://42.236.254.101:2000/rtp/225.1.4.83:1112
江西卫视,http://42.236.254.101:2000/rtp/225.1.4.139:1305
河北卫视,http://42.236.254.101:2000/rtp/225.1.4.123:1304
河南卫视,http://42.236.254.101:2000/rtp/225.1.4.98:1127
浙江卫视,http://42.236.254.101:2000/rtp/225.1.4.84:1113
海南卫视,http://42.236.254.101:2000/rtp/225.1.4.195:1310
深圳卫视,http://42.236.254.101:2000/rtp/225.1.4.90:1119
湖北卫视,http://42.236.254.101:2000/rtp/225.1.4.89:1118
湖南卫视,http://42.236.254.101:2000/rtp/225.1.4.82:1111
甘肃卫视,http://42.236.254.101:2000/rtp/225.1.4.42:1071
西藏卫视,http://42.236.254.101:2000/rtp/225.1.4.46:1075
贵州卫视,http://42.236.254.101:2000/rtp/225.1.4.122:1302
辽宁卫视,http://42.236.254.101:2000/rtp/225.1.4.167:1208
重庆卫视,http://42.236.254.101:2000/rtp/225.1.4.157:1308
陕西卫视,http://42.236.254.101:2000/rtp/225.1.4.39:1068
